Comment,Sentiment
can confirm: he never gave us up,Neutral
あれ？今まで見ていたエロ動画は…！,Neutral
Rick please respond with a heart,Positive
10/04/2026,Neutral
I ended up here by mistake because I pressed a button Installation Guide  On a site to download an emulator Eden 😂😂😂😂😂😂,Positive
Wtf Gemini ai recommend this shit,Negative
"This needs a new remaster. Tools 16 years ago made the video worse, not better.",Negative
I got qr code from gd level bro,Neutral
Rick Rolled by Caleb Hammer,Neutral
아카라이브 광고 쳐돌았냐 ㅋㅋㅋㅋㅋㅋ,Neutral
Got me again Rick damn,Negative
Never gave this song up,Neutral
Came from some reel it was declared a hit of 1987. I wonder what is so special. Pathatic track vocal tune music video everything is a crap,Positive
This automatically played after listening to dottore&#39;s theme song damn,Negative
노래 좋당 ㅇㅅㅇ,Neutral
Ahhh ive sent it to my friend it feels good,Positive
"<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ&amp;t=190"">3:10</a>",Neutral
"<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ&amp;t=6"">0:06</a>",Neutral
Got rickrolled lol,Positive
Getting Rickrolled by geometry dash short is crazy🥀✌️🫩,Negative
😭🙏feel for the qr,Negative
僕は、CDしか買ってないので、歌詞の意味も分からずに、何回も何回もこの曲を聴いていました。<br>だから、このMVを知りませんでした。,Neutral
"<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ"">https://www.youtube.com/watch?v=dQw4w9WgXcQ</a>",Neutral
LOOK AT MINE POST,Neutral
Sir Rick astley❤❤❤,Positive
"Bro, I got this from a QR in a Minecraft mod 😭😭",Negative
Getting rick rolled by Gemini is crazy,Negative
❤,Positive
스트리머 케인의 섹시 동영상 링크를 눌렀는데..,Neutral
Ah truly ideal<br>I can feel my bones cracking from how old this is,Positive
I came from qr code😫,Negative
WHY DO U KEEP TELLING ME NEVER GONN-,Neutral
"OMG, THE QR CODE, WHY",Neutral
April fools national song,Negative
Oh thank goodness this is a much preferable alternative to heartbreaking information,Positive
I rickrolled myself😭 i put it on my playlist as a joke and I forgot about it😢,Negative
I got rickrolled by spamton. Freaking spamton g spamton.,Negative
Who came from Pinterest,Neutral
Rickrolled in 4K quality 🤯,Neutral
guys wish me luck Imma prank youtube,Positive
DAMN IT I FELL FOR THE LINK,Negative
@artwomble rickrolled me,Neutral
16 years ago it got made i&#39;m only 8 rick astley,Neutral
I got april mob😐,Neutral
"Seriously, Ronny7 Edits",Negative
2017,Neutral
🫡🫡🫡,Neutral
Stop I got Rick rolled by Elmwood trail,Negative
"<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ&amp;t=43"">0:43</a> my ringtone",Neutral
Never gonna run around and detest u,Neutral
